source_year,Collision Id,Report Number,Report Version,Is Preliminary,NCIC Code,Crash Date Time,Crash Time Description,Beat,City Id,City Code,City Name,County Code,City Is Active,City Is Incorporated,Collision Type Code,Collision Type Description,Collision Type Other Desc,Day Of Week,DispatchNotified,HasPhotographs,HitRun,IsAttachmentsMailed,IsDeleted,IsHighwayRelated,IsTowAway,JudicialDistrict,MotorVehicleInvolvedWithCode,MotorVehicleInvolvedWithDesc,MotorVehicleInvolvedWithOtherDesc,NumberInjured,NumberKilled,Weather 1,Weather 2,Road Condition 1,Road Condition 2,Special Condition,LightingCode,LightingDescription,Latitude,Longitude,MilepostDirection,MilepostDistance,MilepostMarker,MilepostUnitOfMeasure,PedestrianActionCode,PedestrianActionDesc,PreparedDate,Primary Collision Factor Code,Primary Collision Factor Violation,PrimaryCollisionFactorIsCited,PrimaryCollisionPartyNumber,PrimaryRoad,ReportingDistrict,ReportingDistrictCode,ReviewedDate,RoadwaySurfaceCode,SecondaryDirection,SecondaryDistance,SecondaryRoad,SecondaryUnitOfMeasure,SketchDesc,TrafficControlDeviceCode,CreatedDate,ModifiedDate,IsCountyRoad,IsFreeway,CHP555Version,IsAdditonalObjectStruck,NotificationDate,NotificationTimeDescription,HasDigitalMediaFiles,EvidenceNumber,IsLocationReferToNarrative,IsAOIOneSameAsLocation,_id
2025,4724732,250222812,2,False,3801,2025-04-21T20:46:00,2046,3E12D,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Monday,,,,,False,False,False,,B,PEDESTRIAN,,0,1,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950A,,1,FILLMORE ST,NORTH,,,A,S,10,MCALLISTER ST,F,,A,2025-06-13T08:20:12,2025-09-15T10:57:15,,,2,,,,,,,,143447
2025,4721986,250164292,1,False,3801,2025-03-23T14:51:00,1451,,1227,3801,San Francisco,38,True,True,A,HEAD-ON,,Sunday,,,M,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,E,IN ROAD - INCLUDES SHOULDER,,A,22350,,1,8TH ST,TENDE,,,A,S,90,STEVENSON ST,F,,A,2025-06-11T12:50:04,2025-06-11T12:50:04,,,2,,,,,,,,145719
2025,4721330,250185890,1,False,3801,2025-04-03T00:35:00,35,3A11E,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Thursday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,E,IN ROAD - INCLUDES SHOULDER,,A,21954A,,1,SUTTER ST,CENTR,,,A,E,75,JONES ST,F,,D,2025-06-11T07:45:02,2025-06-11T07:45:02,,,2,,,,,,,,146327
2025,4721320,250239613,1,False,3801,2025-04-29T19:08:00,1908,3115D,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Tuesday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,E,IN ROAD - INCLUDES SHOULDER,,A,21954A,,1,FONT BL,TARAV,,,A,S,160,HOLLOWAY AV,F,,D,2025-06-11T07:40:02,2025-06-11T07:40:02,,,2,,,,,,,,146337
2025,4721317,250241947,1,False,3801,2025-04-30T20:30:00,2030,3C12E,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Wednesday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,D,CROSSING - NOT IN CROSSWALK,,A,21954A,,1,FELTON ST,BAYVI,,,A,E,130,BOWDOIN ST,F,,D,2025-06-11T07:40:02,2025-06-11T07:40:02,,,2,,,,,,,,146339
2025,4720378,250202535,1,False,3801,2025-04-10T20:00:00,2000,3H15D,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Thursday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,B,DUSK-DAWN,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950A,,1,MISSION ST,INGLE,,,,,,MOUNT VERNON AV,,,A,2025-06-10T13:19:59,2025-06-10T13:19:59,,,2,,,,,,,,147046
2025,4720347,250236039,1,False,3801,2025-04-28T13:03:00,1303,4B2H,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Monday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950A,,1,MISSION ST,TRAFF,,,A,N,13,SENECA AV,F,,A,2025-06-10T13:09:59,2025-06-10T13:09:59,,,2,,,,,,,,147077
2025,4720049,250258425,1,False,3801,2025-05-08T15:15:00,1515,1-CAR,1227,3801,San Francisco,38,True,True,B,SIDE SWIPE,,Thursday,,,,,False,True,True,,E,PARKED MOTOR VEHICLE,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,,,,A,22350,,1,19TH AV,TARAV,,,A,S,230,QUINTARA ST,F,,D,2025-06-10T10:59:58,2025-06-10T10:59:58,,,2,,,,,,,,147349
2025,4719941,250192613,1,False,3801,2025-04-06T09:09:00,909,908,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Sunday,,,,,False,False,False,,,,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950,,,CLEMENT ST,RICHM,,,A,S,17,18TH AV,F,,D,2025-06-10T10:04:58,2025-06-10T10:04:58,,,2,,,,,,,,147446
2025,4718659,250188361,1,False,3801,2025-04-04T04:39:00,439,2100-0,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Friday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950A,,1,LEAVENWORTH ST,TENDE,,,A,,,EDDY ST,,,A,2025-06-09T13:34:24,2025-06-09T13:34:24,,,2,,,,,,,,148469
2025,4718583,250213560,1,False,3801,2025-04-17T00:50:00,50,3D11E,1227,3801,San Francisco,38,True,True,D,BROADSIDE,,Thursday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,D,CROSSING - NOT IN CROSSWALK,,A,21954A,,1,VALENCIA ST,MISSI,,,A,,,VALENCIA ST 501,,,A,2025-06-09T12:49:24,2025-06-09T12:49:24,,,2,,,,,,,,148544
2025,4718557,250225775,1,False,3801,2025-04-23T08:00:00,800,3C4A,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Wednesday,,,F,,False,False,False,,B,PEDESTRIAN,,1,0,CLOUDY,,NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,22450,,1,GIRARD ST,BAYVI,,,A,,,BACON ST,,,A,2025-06-09T12:39:24,2025-06-09T12:39:24,,,2,,,,,,,,148569
2025,4718547,250229595,1,False,3801,2025-04-24T20:29:00,2029,1,1227,3801,San Francisco,38,True,True,C,REAR END,,Thursday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,22106,,1,16TH ST,MISSI,,,A,,,VALENCIA ST,,,A,2025-06-09T12:34:23,2025-06-09T12:34:23,,,2,,,,,,,,148579
2025,4718531,250238477,1,False,3801,2025-04-29T12:43:00,1243,3B49,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Tuesday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,CONSTRUCTION-REPAIR ZONE,,,A,DAYLIGHT,,,,,,,D,CROSSING - NOT IN CROSSWALK,,A,21955A,,1,8TH ST,SOUTH,,,,N,50,BRANNAN ST,F,,A,2025-06-09T12:29:24,2025-06-09T12:29:24,,,2,,,,,,,,148593
2025,4718517,250241129,1,False,3801,2025-04-30T15:09:00,1509,4B3D,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Wednesday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950A,,1,POWELL ST,TRAFF,,,A,S,5,PACIFIC AV,F,,A,2025-06-09T12:19:24,2025-06-09T12:19:24,,,2,,,,,,,,148605
2025,4717795,250048464,1,False,3801,2025-01-25T06:11:00,611,3B12A,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Saturday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21456A,,1,3RD ST,SOUTH,,,A,,,HOWARD ST,,,A,2025-06-09T06:49:22,2025-06-09T06:49:22,,,2,,,,,,,,149290
