Collision Id,Report Number,Report Version,Is Preliminary,NCIC Code,Crash Date Time,Crash Time Description,Beat,City Id,City Code,City Name,County Code,City Is Active,City Is Incorporated,Collision Type Code,Collision Type Description,Collision Type Other Desc,Day Of Week,DispatchNotified,HasPhotographs,HitRun,IsAttachmentsMailed,IsDeleted,IsHighwayRelated,IsTowAway,JudicialDistrict,MotorVehicleInvolvedWithCode,MotorVehicleInvolvedWithDesc,MotorVehicleInvolvedWithOtherDesc,NumberInjured,NumberKilled,Weather 1,Weather 2,Road Condition 1,Road Condition 2,Special Condition,LightingCode,LightingDescription,Latitude,Longitude,MilepostDirection,MilepostDistance,MilepostMarker,MilepostUnitOfMeasure,PedestrianActionCode,PedestrianActionDesc,PreparedDate,Primary Collision Factor Code,Primary Collision Factor Violation,PrimaryCollisionFactorIsCited,PrimaryCollisionPartyNumber,PrimaryRoad,ReportingDistrict,ReportingDistrictCode,ReviewedDate,RoadwaySurfaceCode,SecondaryDirection,SecondaryDistance,SecondaryRoad,SecondaryUnitOfMeasure,SketchDesc,TrafficControlDeviceCode,CreatedDate,ModifiedDate,IsCountyRoad,IsFreeway,CHP555Version,IsAdditonalObjectStruck,NotificationDate,NotificationTimeDescription,HasDigitalMediaFiles,EvidenceNumber,IsLocationReferToNarrative,IsAOIOneSameAsLocation
4411199,240510003,2,False,3801,8/14/2024 8:54:00 PM,2054,3B15D,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Wednesday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,,,,D,,,,GUERRERO ST,SOUTH,,,A,,,ROSA PARKS LN,,,A,9/27/2024 12:34:28 PM,1/28/2025 11:50:06 AM,,,2,,,,,,,
4409617,240489828,2,False,3801,8/6/2024 1:00:00 AM,0100,3S43,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Tuesday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,E,IN ROAD - INCLUDES SHOULDER,,D,,,,16TH ST,NORTH,,,A,,,3RD ST,,,D,9/26/2024 12:52:52 PM,1/28/2025 11:41:00 AM,,,2,,,,,,,
4409337,240514259,2,False,3801,8/16/2024 6:15:00 PM,1815,3H16D,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Friday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,22450A,,1,MONTEREY BL,INGLE,,,A,,,EDNA ST,,,D,9/26/2024 10:52:49 AM,1/28/2025 11:49:55 AM,,,2,,,,,,,
4407928,240499247,2,False,3801,8/10/2024 8:10:00 AM,0810,3D14A,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Saturday,,,F,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950,,1,DIVISION ST,MISSI,,,A,,,BRYANT ST,,,A,9/25/2024 12:27:02 PM,1/28/2025 11:50:00 AM,,,2,,,,,,,
4404985,240404020,2,False,3801,6/29/2024 3:24:00 AM,0324,3E13E,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Saturday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950A,,1,GOUGH ST,NORTH,,,A,,,BUSH ST,,,A,9/23/2024 2:31:49 PM,1/28/2025 11:46:01 AM,,,2,,,,,,,
4404760,240507373,2,False,3801,8/13/2024 6:23:00 PM,1823,3G15D,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Tuesday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,C,CROSSING IN CROSS WALK - NOT AT INTERSECTION,,A,21950A,,1,CROSSOVER DR,RICHM,,,A,E,90,TRANSVERSE DR,F,,A,9/23/2024 1:21:46 PM,1/28/2025 11:50:27 AM,,,2,,,,,,,
4404612,240477641,2,False,3801,7/31/2024 12:56:00 PM,1256,3,1227,3801,San Francisco,38,True,True,,,,Wednesday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,CONSTRUCTION-REPAIR ZONE - CONSTRUCTION-REPAIR ZONE,,,A,DAYLIGHT,,,,,,,E,IN ROAD - INCLUDES SHOULDER,,A,21950B,,1,6TH AV,RICHM,,,A,,,GEARY BL,,,A,9/23/2024 12:26:44 PM,1/28/2025 11:41:02 AM,,,2,,,,,,,
4402801,240512457,2,False,3801,8/16/2024 11:00:00 PM,2300,3B12E,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Friday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950A,,1,MISSION ST,SOUTH,,,A,,,5TH ST,,,A,9/20/2024 1:01:30 PM,1/28/2025 11:51:41 AM,,,2,,,,,,,
4414414,240474766,2,False,3801,7/30/2024 11:02:00 AM,1102,3E1A,1227,3801,San Francisco,38,True,True,B,SIDE SWIPE,,Tuesday,,,,,False,False,True,,E,PARKED MOTOR VEHICLE,,2,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,,,,A,22350A,,1,OAK ST,NORTH,,,A,,,LAGUNA ST,,,D,10/1/2024 8:58:53 AM,1/28/2025 11:41:02 AM,,,2,,,,,,,
4432751,240570609,2,False,3801,9/10/2024 9:33:00 PM,2133,3E13E,1227,3801,San Francisco,38,True,True,D,BROADSIDE,,Tuesday,,,F,,False,False,False,,C,OTHER MOTOR VEHICLE,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,,,,A,22101D,,1,EDDY ST,NORTH,,,A,,,POLK ST,,,A,10/16/2024 7:20:31 AM,1/28/2025 11:41:49 AM,,,2,,,,,,,
