Year,CollisionId,Address,PrimaryRoad,SecondaryRoad,Latitude,Longitude,CrashDateTime
2021,2776284,HARRISON ST & 4TH ST,HARRISON ST,4TH ST,,,5/6/2021 12:12:00 PM
2021,2776285,POLK ST & MCALLISTER,POLK ST,MCALLISTER,,,5/6/2021 8:56:00 AM
2021,2776326,9TH AV & JUDAH ST,9TH AV,JUDAH ST,,,5/9/2021 8:57:00 AM
2021,2776328,JOHN F KENNEDY DR & CONSERVATORY DR,JOHN F KENNEDY DR,CONSERVATORY DR,,,5/8/2021 1:06:00 PM
2021,2776331,18TH ST & GUERRERO ST,18TH ST,GUERRERO ST,,,5/5/2021 5:38:00 PM
2021,2776333,CHESTNUT ST & BUCHANAN ST,CHESTNUT ST,BUCHANAN ST,,,5/8/2021 6:59:00 PM
2021,2776343,11TH ST & 13TH ST,11TH ST,13TH ST,,,5/28/2021 6:10:00 PM
2021,2776344,BROADWAY & POWELL ST,BROADWAY,POWELL ST,,,5/24/2021 2:52:00 PM
2021,2776347,OFARRELL ST & SCOTT ST,OFARRELL ST,SCOTT ST,,,5/27/2021 2:45:00 PM
2021,2776349,17TH AV & VALENCIA ST,17TH AV,VALENCIA ST,,,5/27/2021 5:08:00 PM
2021,2776381,STOCKTON ST & SUTTER ST,STOCKTON ST,SUTTER ST,,,5/28/2021 2:40:00 PM
2021,2776384,WEBSTER ST & UNION ST,WEBSTER ST,UNION ST,,,5/28/2021 8:03:00 AM
2021,2781396,OAK ST & BAKER ST,OAK ST,BAKER ST,,,5/14/2021 1:33:00 PM
2021,2781397,FREDERICK ST & WILLARD ST,FREDERICK ST,WILLARD ST,,,5/14/2021 7:47:00 AM
2021,2781444,MISSION ST & 8TH ST,MISSION ST,8TH ST,,,5/13/2021 11:30:00 AM
2021,2782403,1ST ST & FOLSOM ST,1ST ST,FOLSOM ST,,,5/19/2021 5:44:00 PM
2021,2782969,OCEAN AV & LIGHT POLE,OCEAN AV,LIGHT POLE,,,4/30/2021 10:21:00 AM
2021,2784046,DIVISION ST & RHODE ISLAND ST,DIVISION ST,RHODE ISLAND ST,,,3/27/2021 4:30:00 PM
2021,2785715,MARKET ST & ROSE ST,MARKET ST,ROSE ST,,,5/3/2021 4:56:00 PM
2021,2785880,RHODE ISLAND ST & 16TH ST,RHODE ISLAND ST,16TH ST,,,5/5/2021 4:50:00 PM
2021,2785882,SELBY ST & KIRKWOOD AV,SELBY ST,KIRKWOOD AV,,,5/4/2021 1:30:00 PM
2021,2785896,CONGDON ST & MAYNARD ST,CONGDON ST,MAYNARD ST,,,5/21/2021 1:00:00 PM
2021,2785907,PLYMOUTH AV & MONTEREY BL,PLYMOUTH AV,MONTEREY BL,,,5/28/2021 4:15:00 PM
2021,2785909,POLK ST & ELLIS ST,POLK ST,ELLIS ST,,,5/28/2021 4:48:00 PM
2021,2785910,FOLSOM ST & 6TH ST,FOLSOM ST,6TH ST,,,5/28/2021 3:18:00 PM
2021,2785918,MARKET ST & 5TH ST,MARKET ST,5TH ST,,,5/23/2021 1:30:00 AM
2021,2785919,11TH ST & BRYANT ST,11TH ST,BRYANT ST,,,5/20/2021 8:53:00 AM
2021,2785921,IRVING ST & 18TH AV,IRVING ST,18TH AV,,,5/19/2021 5:32:00 PM
2021,2785924,OAKDALE AV & BARNAVELD AV,OAKDALE AV,BARNAVELD AV,,,5/19/2021 10:21:00 AM
2021,2785931,SAN JOSE AV & 30TH ST,SAN JOSE AV,30TH ST,,,5/22/2021 1:30:00 AM
2021,2785933,18TH ST & FOLSOM ST,18TH ST,FOLSOM ST,,,5/10/2021 2:34:00 AM
2021,2785935,LINCOLN HWY & LEGION OF HONOR DR,LINCOLN HWY,LEGION OF HONOR DR,,,5/25/2021 4:40:00 PM
2021,2785941,MARKET ST & OCTAVIA ST,MARKET ST,OCTAVIA ST,,,5/24/2021 4:38:00 PM
2021,2785944,FULTON ST & FILLMORE ST,FULTON ST,FILLMORE ST,,,5/18/2021 10:20:00 AM
2021,2785946,CHURCH ST & CUMBERLAND ST,CHURCH ST,CUMBERLAND ST,,,5/20/2021 10:15:00 AM
2021,2788140,MARKET ST & VALENCIA ST,MARKET ST,VALENCIA ST,,,1/1/2021 1:43:00 PM
2021,2788163,HOWARD ST & FREMONT ST,HOWARD ST,FREMONT ST,,,4/10/2021 3:08:00 PM
2021,2790471,14TH ST & DIVISADERO ST,14TH ST,DIVISADERO ST,,,6/17/2021 9:10:00 AM
2021,2790472,MISSION ST & SILVER AV,MISSION ST,SILVER AV,,,6/19/2021 12:44:00 PM
2021,2790475,NORTH POINT & GRANT ST,NORTH POINT             ,GRANT ST,,,6/20/2021 5:20:00 PM
2021,2790481,MIDDLE DR W & METSON RD,MIDDLE DR W,METSON RD,,,6/22/2021 6:35:00 PM
2021,2790524,20TH AV & LINCOLN WY,20TH AV,LINCOLN WY,,,6/21/2021 4:57:00 PM
2021,2790529,FULTON ST & STEINER ST,FULTON ST,STEINER ST,,,6/23/2021 5:15:00 PM
2021,2790533,MISSION ST & PLUM ST,MISSION ST,PLUM ST,,,6/19/2021 1:49:00 PM
2021,2792606,17TH ST & DE HARO ST,17TH ST,DE HARO ST,,,6/2/2021 12:30:00 PM
2021,2792610,FELL ST & BRODERICK ST,FELL ST,BRODERICK ST,,,6/2/2021 6:01:00 PM
2021,2792612,CIRUCLAR AV & CONGO ST,CIRUCLAR AV,CONGO ST,,,6/2/2021 5:12:00 PM
2021,2792637,CHURCH ST & HILL ST,CHURCH ST,HILL ST,,,6/9/2021 9:49:00 PM
2021,2792638,18TH ST & CHURCH ST,18TH ST,CHURCH ST,,,6/11/2021 4:40:00 PM
2021,2792641,BROADWAY & POWELL ST,BROADWAY,POWELL ST,,,6/27/2021 2:23:00 PM
2021,2792646,JONES ST & POST ST,JONES ST,POST ST,,,6/29/2021 11:39:00 AM
2021,2792654,EDDY ST & MASON ST,EDDY ST,MASON ST,,,6/12/2021 7:54:00 PM
2021,2792655,SAN CARLOS ST & 20TH ST,SAN CARLOS ST,20TH ST,,,6/12/2021 1:01:00 PM
2021,2792660,CLEMENT ST & 26TH AV,CLEMENT ST,26TH AV,,,6/24/2021 4:57:00 PM
2021,2792843,POST ST & STEINER ST,POST ST,STEINER ST,,,6/24/2021 6:45:00 PM
2021,2792850,JONES ST & ELLIS ST,JONES ST,ELLIS ST,,,6/4/2021 1:19:00 PM
2021,2792852,PAGE ST & OCTAVIA ST,PAGE ST,OCTAVIA ST,,,6/16/2021 10:49:00 AM
2021,2793619,NIAGARA AV & ALEMANY BL,NIAGARA AV,ALEMANY BL,,,6/14/2021 7:30:00 AM
2021,2793771,DOLORES ST & 18TH ST,DOLORES ST,18TH ST,,,6/18/2021 12:30:00 PM
2021,2793774,6TH ST & FOLSOM ST,6TH ST,FOLSOM ST,,,6/2/2021 9:01:00 PM
2021,2793775,18TH ST & SANCHEZ ST,18TH ST,SANCHEZ ST,,,6/2/2021 2:23:00 PM
2021,2794028,MARKET ST & SPEAR ST,MARKET ST,SPEAR ST,,,6/18/2021 12:00:00 PM
2021,2794032,GOUGH ST & HAIGHT ST,GOUGH ST,HAIGHT ST,,,6/18/2021 9:39:00 PM
2021,2794043,KING ST & 3RD ST,KING ST,3RD ST,,,6/20/2021 12:26:00 PM
2021,2794967,MARIN ST & BAY SHORE BL,MARIN ST,BAY SHORE BL,,,6/24/2021 9:15:00 PM
2021,2794984,VAN NESS AV & GOLDEN GATE AV,VAN NESS AV,GOLDEN GATE AV,,,6/6/2021 7:22:00 PM
